# Generated by ggg sync; DO NOT EDIT.
#
# The public GET surface a smoke run must cover: every selected route with
# scope public, method GET, no path parameter and no enable predicate.
# Columns: route id, request path.
#
# Expected statuses, body markers and redirect targets are handler behaviour
# and live in scripts/smoke.sh, which fails on any path here it has no
# assertion for.
home.show /
api.openapi /api/v1/openapi.yaml
billing.local.cancel /billing/cancel
billing.local.confirm /billing/confirm
content.post.index /blog
content.release.index /changelog
docs.index /docs
docs.search /docs/search
auth.login /login
auth.logout /logout
pricing.show /pricing
privacy.show /privacy
seo.robots /robots.txt
seo.rss /rss.xml
auth.signup /signup
seo.sitemap /sitemap.xml
terms.show /terms
